Nombre;Escala;Detalle;Serie;Year;Embalaje;Peso;Precio
GF13-001NH II Master Gundam ;1/100;Master Grade;MG Other Gundam;2002;6200;615;26,53
GF13-017NJ II  Hyper Mode God Gundam ;1/100;Master Grade;MG Other Gundam;2003;6200;812;42,64
GF13-017NJ II God Gundam ;1/100;Master Grade;MG Other Gundam;2001;5383,56;517;23,69
GF13-017NJ Shining Gundam ;1/100;Master Grade;MG Other Gundam;;5084;529;23,69
GF13-021NG Gundam Spiegel ;1/100;Master Grade;MG Other Gundam;2002;5518,24;522;23,69
GM Command ;1/100;Master Grade;MG Other Gundam;2017;6988,8;614;33,16
GM Sniper Custom ;1/100;Master Grade;MG MSV;2017;8340,7;711;37,9
GM Sniper II ;1/100;Master Grade;MG Other Gundam;2017;7201,3;595;36,01
GN-0000/7S 00 Gundam Seven Sword/G ;1/100;Master Grade;MG Gundam ;2011;10273,54;881;52,11
GN-0000+GNR-010 00 Raiser ;1/100;Master Grade;MG Gundam ;2011;11589,24;992;61,59
GN-001 Gundam Exia ;1/100;Master Grade;MG Gundam ;2009;6820;595;36,01
GN-001 Gundam Exia Ignition Mode ;1/100;Master Grade;MG Gundam ;2009;10040,9;767;61,59
GN-001 Gundam Exia Trans-AM Mode ;1/100;Master Grade;MG Gundam ;2010;10359,05;696;54,96
GNT-0000 00 QAN[T] ;1/100;Master Grade;MG Gundam ;2010;8246;700;42,64
GNX-603T GN-X ;1/100;Master Grade;MG Gundam ;2010;8577,77;682;34,11
Gundam AGE-1 Normal ;1/100;Master Grade;MG Gundam AGE;2012;7063,74;561;33,16
Gundam AGE-1 Spallow ;1/100;Master Grade;MG Gundam AGE;2012;7041,03;479;33,16
Gundam AGE-1 Titus ;1/100;Master Grade;MG Gundam AGE;2012;8188,94;566;33,16
Gundam AGE-2 Dark Hound ;1/100;Master Grade;MG Gundam AGE;2012;8328,46;643;39,8
Gundam AGE-2 Double Bullet ;1/100;Master Grade;MG Gundam AGE;2013;11589,24;833;39,8
Gundam AGE-2 Normal ;1/100;Master Grade;MG Gundam AGE;2012;8466,12;638;39,8
Gundam Amazing Red Warrior ;1/100;Master Grade;MG Build Fighters;2015;11496,58;828;45,48
Gundam Astray Blue Frame D ;1/100;Master Grade;MG Gundam SEED;2014;13057,2;892;45,48
Gundam Astray Blue Frame Second Revise ;1/100;Master Grade;MG Gundam SEED;2009;11485,5;849;45,48
Gundam Astray Red Frame Kai ;1/100;Master Grade;MG Gundam SEED;2010;11485,5;911;47,38
Gundam Deathscythe-Hell EW Ver. ;1/100;Master Grade;MG Gundam W;2011;10086,16;752;42,64
Gundam Double X ;1/100;Master Grade;MG Gundam X;2015;8445,22;721;42,64
Gundam Exia Dark Matter ;1/100;Master Grade;MG Build Fighters;2015;11485,5;1001;47,38
Gundam F91 ;1/100;Master Grade;MG Other Gundam;2006;6820;570;30,32
Gundam F91 Harrison Martin Custom ;1/100;Master Grade;MG Other Gundam;2006;6944;490;28,43
Gundam F91 Ver.2.0 ;1/100;Master Grade;MG Other Gundam;2018;10155,6;743;37,9
Gundam Fenice Rinascita ;1/100;Master Grade;MG Build Fighters;2015;11581,64;1001;45,48
Gundam Heavyarms EW ;1/100;Master Grade;MG Gundam W;2012;6944;616;36,01
Gundam Sandrock EW ;1/100;Master Grade;MG Gundam W;2011;7006;586;36,01
GX-9900 Gundam X ;1/100;Master Grade;MG Gundam X;2014;7247,76;573;36,01
Hi-Nu Gundam Ver.Ka ;1/100;Master Grade;MG Char`s Counter Attack;2014;16926;1300;66,33
High Mobility Type Zaku II `Psycho Zaku` Ver.Ka ;1/100;Master Grade;MG Gundam Thunderbolt;2016;27944,06;1951;85,28
Hyaku Shiki HD Color ;1/100;Master Grade;MG Z Gundam;2009;6944;812;45,48
Hyaku Shiki Ver.2.0 ;1/100;Master Grade;MG Z Gundam;2015;10273,54;729;64,43
Jegan ;1/100;Master Grade;MG Char`s Counter Attack;2018;9672;738;37,9
Justice Gundam ;1/100;Master Grade;MG Gundam SEED;2017;13410,32;1013;45,48
LM312V04 V Gundam Ver.Ka ;1/100;Master Grade;MG V Gundam;2009;7011,2;590;36,01
MBF-02 Strike Rouge ;1/100;Master Grade;MG Gundam SEED;2004;;806;37,9
MBF-02+EW454F Strike Rouge Otori Equipment Ver.RM ;1/100;Master Grade;MG Gundam SEED;2013;11552,1;883;39,8
MS-05B Zaku I ;1/100;Master Grade;MG Gundam;;;529;23,69
MS-05B Zaku I ;1/100;Master Grade;MG MSV;;;520;23,69
MS-05B Zaku I ;1/100;Master Grade;MG MSV;;;516;23,69
MS-06F Zaku Mine Layer ;1/100;Master Grade;MG MSV;2008;;812;42,64
MS-06F ZakuII Ver.2.0 ;1/100;Master Grade;MG Gundam;2008;8246;647;33,16
MS-06F-2 Zaku II Type F2 ;1/100;Master Grade;MG Gundam ;2002;6820;612;28,43
MS-06F-2 Zaku II Type F2 ;1/100;Master Grade;MG Gundam ;2002;6820;595;28,43
MS-06F/J  Zaku II ;1/100;Master Grade;MG Gundam;;4774;516;23,69
MS-06F/J Zaku II ;1/100;Master Grade;MG Gundam;;;735;33,16
MS-06F/J Zaku II ;1/100;Master Grade;MG Gundam;;;529;26,53
MS-06F/J Zaku II ;1/100;Master Grade;MG Gundam;2005;5374,21;458;23,69
MS-06J Zaku II Ver.2.0 ;1/100;Master Grade;MG Gundam;2007;;735;33,16
MS-06J Zaku II Ver.2.0 White Ogre ;1/100;Master Grade;MG Other Gundam;2009;;653;33,16
MS-06K Zaku Cannon ;1/100;Master Grade;MG MSV;2008;11681,28;812;42,64
MS-06R High Mobility Type Zaku II  ;1/100;Master Grade;MG MSV;2008;;812;42,64
MS-06R-1 Zaku II ;1/100;Master Grade;MG MSV;;6523,61;562;26,53
MS-06R-1A Zaku II ;1/100;Master Grade;MG MSV;;;625;28,43
MS-06R-1A Zaku Ver.2.0 Shin Matsunaga Custom ;1/100;Master Grade;MG MSV;2008;11618,88;850;42,64
MS-06R-2 Zaku II ;1/100;Master Grade;MG MSV;;6617,52;570;26,53
MS-06S Char`s Zaku II ;1/100;Master Grade;MG Gundam;;;735;33,16
MS-06S Char`s Zaku II ;1/100;Master Grade;MG Gundam;;4774;500;23,69
MS-06S Char`s Zaku II Ver.2.0 ;1/100;Master Grade;MG Gundam;2007;8184;735;33,16
MS-06S Zaku ;1/100;Master Grade;MG MSV;2008;11618,88;859;42,64
MS-07B Gouf ;1/100;Master Grade;MG Gundam;2000;6200;580;26,53
MS-07B Gouf ;1/100;Master Grade;MG Gundam;2005;6617,52;521;26,53
MS-07B Gouf Ver.2.0 ;1/100;Master Grade;MG Gundam;2009;8494;731;36,01
MS-07B-3 Gouf Custom ;1/100;Master Grade;MG Other Gundam;2001;6200;612;28,43
MS-09 Dom ;1/100;Master Grade;MG Gundam;2005;13599,85;860;37,9
MS-09 Dom ;1/100;Master Grade;MG Gundam;;;806;37,9
MS-09R Rick Dom ;1/100;Master Grade;MG Gundam;;;806;37,9
MS-09R-S Char`s Rick Dom ;1/100;Master Grade;MG MSV;2003;13530,99;976;42,64
MS-14A Gelgoog ;1/100;Master Grade;MG Gundam ;2003;;735;33,16
MS-14A Gelgoog ;1/100;Master Grade;MG Gundam;;;771;28,43
MS-14A Gelgoog Ver.2.0 ;1/100;Master Grade;MG Gundam;2008;15053,11;967;42,64
MS-14B/C Gelgoog Cannon ;1/100;Master Grade;MG MSV;;;747;28,43
MS-14S Char`s Gelgoog ;1/100;Master Grade;MG Gundam;;;483;28,43
MS-14S Char`s Gelgoog Ver. 2.0 ;1/100;Master Grade;MG Gundam;2007;15053,11;951;42,64
MS-14S Gelgoog ;1/100;Master Grade;MG Gundam;2005;9992,66;678;28,43
MS-18E Kampfer ;1/100;Master Grade;MG Other Gundam;2001;;806;37,9
MSA-0011;1/100;Master Grade;MG Other Gundam;2003;22362,48;1803;75,8
MSA-0011 S Gundam ;1/100;Master Grade;MG Other Gundam;2002;15301,85;1204;56,85
MSA-003 Nemo ;1/100;Master Grade;MG Z Gundam;2006;6200;529;26,53
MSM-03 Gogg ;1/100;Master Grade;MG Gundam;2003;13556,4;921;33,16
MSM-04 Acguy ;1/100;Master Grade;MG Gundam;2005;13367,2;990;37,9
MSM-07 Z`Gok ;1/100;Master Grade;MG Gundam;2003;;705;28,43
MSM-07S Char`s Z`Gok ;1/100;Master Grade;MG Gundam;2003;9820,8;612;28,43
MSN-00100 Hyaku Shiki + Ballute System ;1/100;Master Grade;MG Z Gundam;2005;11931,87;846;37,9
MSN-001A1 Delta Plus ;1/100;Master Grade;MG Gundam UC;2011;8263,36;685;42,64
MSN-02 Perfect Zeong ;1/100;Master Grade;MG MSV;2004;42624;2560;94,75
MSN-02 Zeong ;1/100;Master Grade;MG Gundam;2002;;1402;56,85
MSN-04 Sazabi ;1/100;Master Grade;MG Char`s Counter Attack;2000;22907,16;1323;75,8
MSN-04 Sazabi Metallic Coating Ver. ;1/100;Master Grade;MG Char`s Counter Attack;2007;;1350;132,65
MSN-04 Sazabi Ver.Ka ;1/100;Master Grade;MG Char`s Counter Attack;2013;26461,5;1643;85,28
